region,product,sales_amount,date,quantity
Île-de-France,Product A,1240.50,2024-01-15,10
Provence,Product B,890.25,2024-01-16,7
Nouvelle-Aquitaine,Product A,720.00,2024-01-17,6
Occitanie,Product C,680.75,2024-01-18,5
Auvergne-Rhône-Alpes,Product B,950.30,2024-01-19,8
Île-de-France,Product C,1100.00,2024-01-20,9
Provence,Product A,765.40,2024-01-21,6
Nouvelle-Aquitaine,Product B,890.60,2024-01-22,7
Occitanie,Product A,920.25,2024-01-23,8
Auvergne-Rhône-Alpes,Product C,1150.75,2024-01-24,10
Île-de-France,Product A,1350.00,2024-01-25,11
Provence,Product B,980.50,2024-01-26,8
Nouvelle-Aquitaine,Product A,800.25,2024-01-27,7
Occitanie,Product C,750.00,2024-01-28,6
Auvergne-Rhône-Alpes,Product B,1020.75,2024-01-29,9
